Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,99107,99002,99217,99272,99172,99375,98491,98346,98642,98061,97938,98189
2,99040,98926,99159,99213,99110,99320,98396,98236,98563,98135,97938,98341
3,98991,98872,99114,99169,99062,99280,98325,98158,98499,98054,97847,98269
4,98953,98832,99078,99135,99028,99248,98271,98101,98448,97992,97782,98210
5,98922,98799,99050,99108,98997,99224,98228,98055,98407,97943,97730,98163
6,98896,98770,99026,99084,98971,99203,98192,98015,98374,97902,97685,98125
7,98872,98744,99006,99063,98947,99184,98160,97977,98347,97866,97648,98094
8,98850,98718,98988,99043,98924,99168,98132,97944,98324,97835,97607,98069
9,98831,98696,98973,99025,98903,99153,98108,97916,98305,97808,97576,98047
10,98815,98677,98959,99010,98885,99140,98088,97894,98288,97786,97552,98027
11,98801,98662,98947,98997,98869,99128,98072,97878,98272,97767,97534,98008
12,98767,98646,98934,98983,98853,99118,98057,97861,98255,97748,97515,97988
13,98767,"98,622",98919,98964,98830,99102,98031,97833,98236,97721,97483,97966
14,98738,98581,98898,98935,98793,99082,97992,97779,98213,97676,97421,97940
15,98696,98517,98870,98892,98736,99055,97932,97689,98184,97608,97318,97908
16,98627,98427,98834,98833,98657,99019,97849,97559,98149,97513,97167,97872
17,98547,98313,98790,98760,98557,98974,97743,97391,98107,97393,96973,97828
18,98455,98180,98740,98676,98441,98924,97619,97192,98059,97251,96742,97777
19,98356,98036,98688,98587,98316,98873,97480,96973,98005,97092,96485,97719
20,98254,97887,98637,98496,98186,98824,97334,96741,97945,96922,96211,97653
21,98150,97734,98586,98405,98053,98777,97179,96499,97879,96740,95921,97578
22,98044,97575,98536,98312,97918,98732,97015,96245,97806,96546,95614,97495
23,97936,97412,98485,98218,97778,98687,96844,95981,97728,96341,95293,97404
24,97826,97247,98433,98123,97634,98642,96667,95709,97645,96129,94963,97306
25,97714,97079,98379,98027,97490,98596,96485,95439,97557,95912,94627,97203
26,97600,96910,98323,97929,97345,98548,96299,95149,97465,95691,94267,97094
27,97485,96739,98264,97830,97199,98498,96099,94881,97368,95464,93942,96979
28,97367,96565,98204,97729,97050,98447,95913,94567,97285,95230,93589,96856
29,97244,96385,98139,97624,96895,98393,95709,94265,97154,94985,93224,96723
30,97115,96197,98070,97513,96733,98336,95496,93952,97034,94727,92844,96579
31,96980,96000,97997,97396,96562,98275,95273,93628,96904,94455,92448,96422
32,96839,95795,97919,97273,96382,98211,95039,93289,96779,94169,92035,96259
33,96689,95581,97836,97144,96194,98143,94793,92942,96618,93867,91602,96070
34,96533,95357,97747,97009,95998,98070,94532,92573,96456,93547,91145,95875
35,96368,95123,97653,96867,95794,97993,94256,92182,96286,93208,90661,95667
36,96195,94877,97553,96718,95581,97911,93962,91766,96103,92847,90147,95445
37,96012,94619,97445,96561,95358,97822,93650,91325,95906,92483,89603,95209
38,95820,94350,97331,96397,95126,97727,93321,90863,95700,92059,89032,94952
39,95620,94072,97210,96226,94887,97627,92978,90384,95483,91638,88440,94694
40,95413,93787,97083,96049,94641,97520,92622,89890,95255,91201,87831,94416
41,95199,93494,96948,95864,94397,97406,92254,89382,95015,90747,87204,94123
42,94975,93191,96804,95670,94123,97284,91870,88858,94761,90274,86556,93813
43,94738,92873,96651,95463,93840,97150,91468,88298,94492,89808,85841,93489
44,94483,92535,96478,95239,93546,97002,91038,87731,94201,89252,85169,93132
45,94206,92172,96289,94994,93225,96836,90582,87120,93889,88693,84416,92754
46,93896,91170,96125,94725,92498,96440,89576,85782,93190,87483,82769,92340
47,93578,91360,95846,94431,92498,96440,89576,85782,93190,87483,82769,91910
48,93223,90907,95590,94110,92090,96209,89022,85053,92798,86789,81876,91440
49,92841,90423,95311,93784,91652,95956,88432,84286,92373,86076,80940,90933
50,92431,89907,95008,93391,91184,95681,87903,83479,91911,85322,79963,90386
51,91991,89356,94678,92990,90682,95382,87303,82729,91409,84525,78944,89790
52,91516,88765,94319,92556,90141,95056,86421,81740,90866,83682,77878,89159
53,90999,88125,93926,92082,89552,94696,85658,80792,90279,82787,76755,88475
54,90432,87432,93484,91558,88905,94307,84837,79774,89633,81833,75562,87743
55,89810,86857,93016,90980,88189,93861,83957,78676,88968,80813,74298,86961
56,89127,85815,92494,90341,87401,93373,83010,77494,88240,79724,72932,86127
57,88381,84866,91921,89640,86537,92836,81995,76228,87480,78566,71493,85237
58,87561,83804,91299,88872,85599,92247,80887,74854,86651,77393,69976,84280
59,86688,82811,90617,88034,84556,91605,79760,73456,85722,76040,68388,83264
60,85734,81837,89882,87122,83428,90908,78539,71960,84754,74672,66735,82168
61,84705,80371,89087,86131,82203,90152,77248,70394,83715,73234,65020,80995
62,83597,79010,88228,85059,80877,89333,75886,"68,755",82603,71724,63242,79743
63,82398,77554,87304,83905,79405,88449,74448,67008,81398,70110,61397,78412
64,81138,75996,86312,82668,77822,87495,72930,65240,80153,68479,59479,77003
65,79784,74340,85249,81346,76292,86472,71328,63355,79813,66739,57487,75515
66,78346,72565,84112,79890,74580,85376,69622,61396,77396,64922,55423,73950
67,76820,70729,82897,78442,72723,84197,67676,59337,75899,63031,53293,72307
68,75201,68769,81597,76850,70778,82933,66029,57214,74319,61068,51104,70593
69,73482,66701,80204,75153,68718,81575,64103,55024,72649,59037,48862,68777
70,71659,64523,78711,73346,66539,80114,62100,52774,70887,56941,46575,66887
71,69730,62244,77114,71420,64203,78791,59921,50375,69077,54202,43917,64910
72,67692,59848,75409,69396,61834,76867,57868,48110,67077,52563,41886,62853
73,65550,57359,73593,67253,59316,75072,55653,45715,65039,50300,39510,60723
74,63308,54776,71664,64993,56734,73088,53280,43175,62831,48292,37139,58302
75,60962,52105,69618,62635,53971,71118,51085,40873,60748,45709,34790,56302
76,58519,49354,67452,60164,51157,68951,48747,38446,58504,43400,32472,54024
77,55970,46530,65161,57583,48234,66651,46268,35879,56095,40930,30169,51636
78,53344,43642,62740,54906,45292,64213,43660,33600,53602,38755,27939,49318
79,50615,40701,60183,52124,42261,61632,41504,31182,51330,36409,25720,46874
80,47795,37718,57486,49244,39181,58903,39002,28789,48767,34041,23530,44358
81,44888,34705,54644,46271,36066,56022,36451,26362,46108,31648,21371,41765
82,41898,31676,51653,43210,32931,52984,33851,23967,43350,29230,19245,39090
83,38832,28648,48574,40049,29784,49780,31180,21580,40390,26803,17158,36318
84,35696,25630,45212,36852,26667,46424,28516,19235,37536,24331,15119,33496
85,32498,22646,41756,33571,23574,42896,25790,16916,34486,21861,13138,30582
