Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,98931,98804,99065,99065,98941,99197,98410,98289,98556,98173,98006,98346
2,98662,98724,99007,99001,98868,99144,98319,98165,98477,98074,97895,98260
3,98546,98606,98961,"98,953",98813,99102,98244,98079,98411,97999,97805,98189
4,98766,98617,98923,98915,98771,99069,98183,98014,98356,97927,97732,98129
5,98731,98578,98892,98884,98736,99041,98132,97957,98311,97872,97672,98080
6,98701,98548,98866,98857,98706,99017,98089,97909,98273,97826,97622,98039
7,98674,98513,98843,98832,98678,98996,98052,97867,98241,97787,97579,98004
8,98650,98485,98822,98810,98652,98977,98019,97830,98213,97754,97541,97975
9,98628,98460,98804,98790,98628,98960,97990,97798,98188,97725,97508,97949
10,98608,98438,98787,98772,98607,98945,97965,97770,98166,97698,97478,97926
11,98590,98418,98773,98755,98588,98931,97942,97744,98145,97672,97450,97904
12,98572,98397,98756,98738,98568,98917,97918,97717,98125,97646,97420,97882
13,98549,98369,98738,98716,98542,98900,97891,97684,98103,97616,97383,97859
14,98517,98328,98716,98685,98502,98878,97859,97640,98078,97578,97335,97833
15,98473,98269,98697,98641,98443,98849,97811,97579,98049,97531,97270,97804
16,98415,98190,98651,98583,98364,98812,97754,97500,98015,97473,97188,97771
17,98344,98059,98606,98511,98265,98768,97686,97403,97976,97403,97087,97733
18,98261,97977,98560,98428,98150,98719,97605,97287,97932,97321,96966,97690
19,98171,97848,98509,98338,98023,98668,97513,97152,97884,97226,96825,97642
20,98076,97709,98458,98244,97887,98618,97410,96998,97831,97119,96664,97588
21,97976,97560,98407,98147,97743,98569,97295,96825,97774,96999,96482,97529
22,97875,97406,98356,98046,97591,98520,97155,96633,97712,96868,96278,97463
23,97762,97238,98304,97943,97435,98472,97032,96425,97645,96722,96056,97391
24,97652,97072,98252,97840,97279,98423,96889,96208,97573,96569,95822,97313
25,97542,96907,98198,97738,97125,98374,96741,95985,97496,96409,95580,97233
26,97433,96745,98143,97637,96975,98325,96598,95758,97412,96241,95331,97137
27,97324,96585,98087,97538,96828,98275,96430,95525,97324,96066,95073,97039
28,97215,96425,98033,97439,96684,98225,96265,95284,97230,95885,94802,96933
29,97104,96265,97968,97340,96540,98172,96089,95029,97126,95681,94510,96817
30,96989,96100,97904,97239,96393,98117,95901,94757,97015,95465,94196,96690
31,96869,95930,97836,97135,96244,98060,95699,94467,96894,95231,93856,96552
32,96745,95754,97764,97028,96092,97999,95483,94158,96763,94978,93490,96401
33,96616,95573,97687,96917,95936,97935,95253,93831,96622,94708,93100,96239
34,96481,95388,97605,96802,95775,97866,95012,93488,96473,94424,92690,96068
35,96341,95192,97519,96681,95608,97793,94760,93129,96317,94127,92260,95888
36,96194,94990,97427,96554,95434,97714,94496,92753,96152,93816,91811,95699
37,96039,94779,97328,96420,95252,97629,94218,92358,95977,93489,91340,95498
38,95874,94556,97221,96277,95059,97536,93924,91942,95791,93143,90843,95284
39,95693,94322,97104,96124,94851,97436,93618,91500,95591,92773,90316,95062
40,95510,94071,96979,95959,94638,97325,93274,91030,95372,92376,89753,94799
41,95307,93803,96841,95781,94405,97206,92913,90529,95135,91948,89232,94539
42,95088,93516,96689,95588,94154,97070,92525,89955,94878,91488,88512,94223
43,94850,93206,96522,95378,93882,96922,92110,89428,94599,90997,87833,93898
44,94591,92876,96339,95149,93589,96759,91668,88827,94288,90475,87157,93534
45,94311,92511,96137,94899,93268,96578,91195,88192,93971,89922,86365,93169
46,94004,92120,95914,94625,92920,96378,90691,87521,93618,89335,85576,92761
47,93690,91695,95681,94324,92540,96160,90147,86810,93244,88715,84724,92329
48,93302,91231,95399,93992,92122,95912,89574,86053,92819,88048,83867,91844
49,92699,90722,95101,93626,91662,95641,88951,85240,92366,87334,82929,91328
50,92457,90164,94773,93222,91153,95342,88277,84366,91873,86566,81924,90770
51,91972,89613,94413,92712,90593,95012,87550,83425,91337,85739,80848,90166
52,91441,88985,94018,92286,89976,94658,86767,82417,90767,85003,79700,89514
53,90860,88153,93596,91747,89297,94251,85925,81339,90124,83902,78483,88808
54,90225,87354,93115,91154,88547,93819,85029,80192,89438,82869,77203,88042
55,89533,86476,92604,90504,87720,93342,84049,78049,88697,81876,75869,87210
56,88760,85521,92050,89794,86812,92827,83013,77691,87887,80666,74465,86311
57,87994,84454,91449,89019,85830,92262,81908,76335,87018,79454,73007,85344
58,87079,83361,90797,88176,84740,91657,80728,74898,86083,78166,71474,84305
59,86121,82149,90088,87261,83571,90990,79464,73368,85076,76791,69846,83189
60,85086,80845,89317,86269,82309,90262,78112,71738,83994,75321,68111,81994
61,83970,79445,88479,85196,80952,89468,76665,70001,82831,73751,66261,80714
62,82761,77984,87571,84039,79496,88604,75127,68125,81564,72177,64306,79351
63,81487,76351,86594,82797,77940,87670,73513,66247,80275,70344,62271,77916
64,80123,74662,85548,81471,76294,86665,71844,64277,78906,68552,60192,76428
