Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,98845,98720,98977,98980,98874,99112,98267,98100,98440,98032,97841,98229
2,98769,98634,98909,98918,98793,99050,98188,97982,98351,97926,97726,98134
3,98708,98569,98854,98863,98733,98990,98097,97905,98277,97839,97631,98055
4,98660,98517,98810,98819,98686,98960,98021,97833,98217,97767,97552,97989
5,98620,98473,98774,98783,98646,98927,97966,97772,98167,97706,97485,97935
6,98585,98434,98744,98751,98610,98900,97919,97719,98126,97651,97427,97890
7,98554,98398,98718,98722,98576,98876,97879,97673,98091,97611,97377,97853
8,98528,98365,98696,98696,98545,98855,97844,97632,98062,97573,97333,97821
9,98501,98336,98676,98672,98517,98836,97813,97596,98037,97540,97295,97797
10,98480,98311,98658,98652,98494,98819,97786,97565,98015,97511,97261,97770
11,98461,98290,98641,98634,98475,98803,97761,97537,97994,97484,97230,97747
12,98442,98270,98624,98617,98458,98787,97737,97509,97973,97457,97198,97725
13,98419,98243,98605,98595,98430,98769,97709,97475,97951,97427,97161,97701
14,98386,98201,98582,98563,98389,98746,97674,97430,97928,97390,97114,97675
15,98340,98138,98553,98517,98326,98717,97628,97368,97896,97343,97051,97645
16,98278,98051,98517,98454,98239,98681,97570,97287,97861,97285,96971,97609
17,98202,97943,98475,98376,98129,98638,97499,97188,97820,97214,96872,97568
18,98114,97818,98427,98287,98000,98590,97415,97069,97773,97131,96753,97521
19,98017,97676,98370,98190,97859,98540,97320,96931,97721,97035,96614,97468
20,97916,97527,98324,98090,97711,98489,97213,96775,97663,96926,96454,97410
21,97810,97370,98271,97987,97557,98438,97094,96600,97600,96804,96271,97346
22,97700,97204,98217,97880,97397,98386,96963,96405,97531,96668,96066,97276
23,97586,97033,98162,97772,97233,98334,96821,96193,97457,96519,95841,97199
24,97471,96860,98105,97663,97070,98282,96671,95988,97378,96358,95598,97116
25,97356,96686,98047,97556,96909,98230,96513,95733,97294,96187,95342,97025
26,97241,96518,97988,97451,96753,98178,96348,95468,97204,96007,95071,96927
27,97127,96350,97928,97347,96600,98125,96176,95232,97108,95816,94786,96824
28,97013,96183,97867,97244,96450,98071,95998,94966,97007,95614,94496,96712
29,96897,96016,97804,97141,96302,98016,95808,94688,96901,95401,94170,96593
30,96779,95847,97738,97038,96153,97959,95611,94397,96790,95177,93838,96487
31,96658,95675,97669,96933,96003,97900,95405,94093,96674,94940,93504,96334
32,96534,95500,97597,96826,95852,97838,95190,93776,96549,94693,93121,96193
33,96405,95321,97520,96716,95698,97772,94965,93448,96418,94432,92737,96043
34,96275,95139,97439,96605,95538,97703,94730,93105,96278,94160,92336,95888
35,96139,94953,97353,96484,95382,97627,94485,92752,96129,93873,91924,95710
36,95997,94761,97261,96381,95221,97547,94228,92386,95968,93573,91493,95525
37,95848,94562,97162,96230,95044,97460,93957,92004,95795,93255,91045,95325
38,95689,94353,97054,96091,94861,97365,93670,91605,95608,92921,90573,95109
39,95519,94130,96935,95941,94666,97261,93366,91187,95405,92567,90080,94876
40,95335,93891,96805,95778,94456,97146,93042,90748,95186,92190,89561,94624
41,95133,93632,96665,95600,94228,97019,92697,90287,94946,91798,89038,94350
42,94915,93353,96503,95405,93982,96877,92327,89794,94686,91361,88438,94053
43,94675,93048,96328,95191,93711,96721,91927,89267,94401,90901,87821,93729
44,94413,92714,96134,94955,93412,96540,91494,88698,94093,90401,87154,93374
45,94120,92344,95921,94695,93082,96357,91014,88066,93747,89858,86429,92991
46,93798,91937,95686,94407,92716,96146,90492,87379,93372,89266,85642,92572
47,93449,91492,95427,94090,92316,95904,89917,86631,92967,88630,84790,92119
48,93058,90995,95143,93739,91871,95657,89302,85819,92514,87930,83871,91619
49,92631,90451,94831,93350,91376,95375,88629,84940,92024,87178,82882,91076
50,92162,89853,94489,92920,90827,95065,87901,83993,91491,86366,81822,90484
