Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
51,91647,89184,94105,92445,90246,94724,87115,82973,90911,85491,80688,89839
52,91084,88476,93707,91923,89550,94350,86288,81879,90282,84566,79478,89139
53,90471,87692,93263,91351,88816,93943,85360,80712,89603,83544,78194,88384
54,89806,86837,92781,90728,88014,93488,84392,79477,88874,82473,76834,87578
55,89088,85921,92259,90052,87145,93014,83284,78165,88095,81338,75388,87576
56,88313,84928,91694,89319,86201,92469,82271,76786,87264,80198,73688,85802
57,87477,83858,91084,88525,85180,91918,81147,75286,86383,78873,72323,84833
58,86578,82706,90425,87867,84077,91299,79893,73810,85433,77538,70843,83779
59,85606,81471,89712,86740,82887,90626,78591,72202,84419,76122,68905,82697
60,84562,80144,88943,85739,81605,89901,77207,70508,83331,74626,67088,81514
61,83442,78725,88113,84562,80229,89118,75738,68727,82165,73046,65195,80247
62,82242,77212,87262,83505,78767,88267,74186,66864,80926,71380,63230,78902
63,80958,75597,86259,82261,77179,87350,72558,64926,79608,69654,61197,77479
64,79582,73672,85225,80922,75485,86359,70884,62918,78230,67859,59104,75996
65,78111,71612,84115,79395,73657,85291,69105,60840,76785,65926,56946,74420
66,76541,70071,82924,77938,71725,84135,67300,58720,75304,64111,54780,72872
67,74879,67913,81647,76288,69660,82892,65434,56540,73754,62183,52521,71231
68,73103,65813,80262,74535,67476,81559,63511,54311,72136,60166,50245,69529
69,71239,63526,78826,72681,65181,80131,61527,52049,70446,58115,47940,67758
70,69280,61142,77278,70728,62781,78608,59481,49754,68670,56011,45613,65963
71,67226,58669,75826,68678,60284,76985,57373,47433,66808,53853,43268,63973
72,65063,56085,74257,66454,57654,75294,55208,45035,64854,51540,40873,61879
73,62842,53473,72016,64281,55014,73414,52997,42748,62838,49409,38566,59884
74,60502,50755,70035,61923,52241,71444,50755,40406,60749,47153,36248,57747
75,58061,47973,67907,59454,49341,69394,48391,37993,58569,44751,33908,55480
76,55523,45105,65686,56875,46444,67088,46215,35784,56401,42634,31753,53327
77,52893,42198,63311,54194,43446,64694,43821,33513,54138,40375,29588,51042
78,50178,39259,60791,51420,40452,62154,41607,31283,51807,38111,27469,48693
79,47388,36309,58152,48584,37354,59470,39269,29053,49400,35835,25397,46284
80,44532,33368,55388,45637,34306,56640,36903,26664,48910,33542,23364,43795
81,41619,30456,52440,42650,31287,53664,34508,24703,44332,31229,21388,41224
82,38656,27594,49372,39612,28320,50539,32084,22572,41663,28865,19408,38569
83,35659,24786,46289,36532,25397,47434,29605,20518,38878,26499,17438,35828
84,32621,22098,42794,33418,22632,43823,27161,18411,36056,24172,15606,33004
85,29559,19505,39275,30275,19954,40221,24675,16392,33123,21795,13774,30100
