Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,99199,99121,99281,99344,99279,99412,98657,98521,98796,98424,98258,98595
2,99138,99051,99229,99293,99218,99368,98565,98430,98704,98319,98138,98506
3,99093,99002,99189,99253,99177,99334,98496,98341,98657,98241,98054,98434
4,99059,98966,99157,99224,99146,99307,98444,98288,98607,98181,97992,98377
5,99031,98936,99132,99200,99120,99285,98402,98242,98567,98133,97942,98331
6,99007,98910,99111,99180,99097,99267,98366,98203,98535,98093,97898,98295
7,98985,98885,99093,99161,99075,99251,98334,98166,98508,98058,97856,98266
8,98965,98861,99077,99143,99055,99236,98306,98132,98486,98027,97818,98242
9,98947,98840,99062,99127,99036,99222,98281,98103,98466,98000,97785,98220
10,98932,98823,99048,99113,99020,99210,98261,98081,98447,97977,97761,98199
11,98918,98809,99035,99100,99006,99198,98244,98065,98429,97958,97744,98178
12,98904,98794,99021,99087,98991,99186,98226,"98,049",98409,97938,97727,98155
13,98884,"98,772",99004,99069,98970,99171,98201,"98,022",98387,97909,97696,98129
14,98854,98733,98983,99041,98935,99151,98161,97968,98360,97862,97635,98099
15,98609,98671,98956,99000,98881,99125,98099,97876,98328,97791,97530,98063
16,98747,98583,98921,98944,98805,99091,98012,97742,98290,97692,97376,98021
17,98670,98471,98880,98875,98709,99050,97902,97588,98246,97567,97177,97972
18,98580,98340,98833,98795,98597,99005,97774,97364,98196,97420,96941,97917
19,98483,98198,98784,98709,98475,98958,97633,97139,98140,97257,96680,97856
20,98383,98050,98735,98622,98349,98912,97485,96904,98080,97085,96403,97790
21,98281,97897,98686,98533,98219,98868,97330,96659,98015,95903,96112,97717
22,98176,97738,98637,98442,98084,98824,97166,96402,97945,"95,711",95805,97638
23,98068,97576,98587,98350,97945,98780,96996,96137,97870,"95,510",95487,97552
24,97959,97412,98535,98257,97805,98735,96822,95868,97790,"95,302",95163,97459
25,97848,97247,98481,98162,97665,98689,"96,645",95597,97704,96094,94835,97363
26,97738,97065,98424,98067,97525,98639,96465,95326,97613,95872,94506,97249
27,97623,96919,98364,97971,97385,98588,96282,95054,97515,95650,94175,97132
28,97507,96751,98300,97872,97239,98534,96093,94776,97430,95425,93835,97007
29,97384,96574,98232,97767,97091,98476,"95,892",94464,97395,95175,93475,96866
30,97253,96379,98160,97655,96932,98419,95677,93840,97032,94812,93004,96713
31,97113,96183,98084,97535,96754,98357,95445,93487,96883,94526,92683,96547
32,96965,95967,98003,97407,96567,98292,95198,93114,96722,94002,91785,"96,366"
33,96808,95739,97916,97272,96368,98222,94935,93114,96722,94002,91785,"96,171"
34,96642,95501,97823,97130,96160,98147,94659,92726,96550,93663,91305,95961
35,96468,95254,97724,96981,95944,98067,94370,92324,96367,93308,90808,95737
36,96286,94998,97617,96824,95720,97980,94068,91908,96172,92938,90236,95498
37,96094,94731,97502,96659,95487,97885,93751,91476,95964,92550,89754,95242
38,95892,94452,97379,96486,95244,97784,93418,91023,95743,92142,89211,94972
39,95681,94161,97249,96304,94990,97677,93067,90544,95510,91710,88622,94686
40,95459,93856,97112,96114,94725,97564,92695,90035,95266,91251,87994,94385
41,95226,93535,96968,95914,94447,97445,92300,89490,95009,90763,87323,94068
42,94980,93197,96815,95703,94155,97318,91882,88917,94738,90246,86610,93733
43,94721,92843,96650,95484,93849,97181,91442,88312,94462,89746,85881,93379
44,94448,92475,96476,95244,93529,97031,90981,87682,94145,89128,85080,93002
45,94161,92093,96284,94994,93195,96666,90499,87030,93819,88531,84276,92599
46,93857,91693,96079,94728,92843,96726,89984,86357,93481,87952,83448,92168
47,93535,91280,95847,94443,92478,96485,89465,85658,93095,87258,82592,91707
48,93190,90840,95598,94135,92085,96265,88907,84927,92695,86575,81701,91218
49,92817,90368,95327,93801,91663,96022,88315,84155,92268,85855,80766,90698
50,92413,89857,95030,93436,91202,95754,87684,83336,91812,85095,79779,90149
51,91979,89315,94706,93006,90721,95459,86612,82462,91326,84326,78837,89587
52,91495,88703,94351,92598,90151,95133,86296,81539,90806,83445,77640,88957
53,90976,88054,93963,92120,89555,94776,85535,80562,90247,82550,76488,88303
54,90516,87357,93540,91602,88896,94378,84536,79494,89665,81580,75175,87584
55,89812,86609,93080,91041,88216,93961,83864,78456,88984,80602,74025,86838
56,89161,85806,92580,90435,87467,93499,82950,77328,88270,79545,72716,86015
57,88459,84948,92036,89778,86658,93096,81979,76145,87498,78429,71353,85130
58,87697,84016,91463,89061,85777,92645,80949,74899,86657,77351,69928,84183
59,86863,82998,90794,88271,84807,91837,79855,73578,85786,76007,68430,83177
60,85950,81883,90082,87399,83737,91164,78695,72173,84851,74694,66852,82112
61,84951,80665,89303,86438,82560,90421,77465,70680,83862,73308,65189,80988
62,83866,79343,88454,85387,81276,89606,76163,69100,82813,71848,63441,79799
63,82699,77908,87535,84247,79880,88712,74785,67488,81690,70319,61637,78542
64,81443,76399,86546,83022,78392,87762,73348,65716,80517,68727,59770,77212
65,80111,74785,85488,81715,76799,86735,71838,63934,79257,67076,57875,75805
66,78600,73094,84324,80324,75106,85635,70162,61977,77963,65384,55855,74262
67,77200,71277,83148,78844,73310,84457,68617,60217,76503,63612,54015,72761
68,75610,69375,81853,77269,71408,83192,66890,58260,74997,61778,52019,71111
69,73920,67367,80463,75592,69397,81829,65063,56205,73391,59848,49933,69358
70,72123,65249,78969,73807,67275,80361,63125,54038,71677,57807,47735,67494
71,70215,63022,77319,71970,65070,78750,61070,51877,69825,55733,45414,65554
72,68200,60690,75647,69902,62701,77086,58906,49361,67912,53382,42992,63420
73,66078,58259,73816,67784,60256,75274,56657,46901,65875,51045,40515,61238
74,63854,55738,71870,65557,57711,73341,54355,44419,63755,48695,38043,58945
75,61539,53136,69763,63212,55069,71286,52023,41851,61634,46179,35634,56715
76,59115,50457,67628,60779,52337,69103,49671,39511,59308,43988,33296,54402
77,56600,47707,65322,58228,49519,66787,47294,37097,56978,41665,31027,52051
78,53987,44843,62884,55569,46621,64332,44880,34894,55365,39340,28907,49649
79,51273,42004,60308,52802,43650,61730,42416,32286,52059,36995,26611,47182
80,48458,39061,57586,49928,40613,58976,39892,29862,49450,34615,24421,44636
81,45542,36065,54713,46947,37518,56084,37302,27417,46733,32193,22229,42005
82,42528,33024,51683,43863,34374,52989,34647,24956,43905,29729,20040,38286
83,39410,29949,48595,40735,31821,49735,31935,22411,40945,27077,17802,35448
84,36221,26850,45142,37399,27981,46332,29179,20049,37924,24729,15748,33608
85,32939,23744,41625,34028,24755,42745,26400,17658,34785,22238,13716,30674
