Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,99014,98914,99118,99092,98285,99118,98370,98243,98501,98137,97996,98289
2,98946,98838,99059,99125,99024,99232,98275,98136,98417,98034,97881,98193
3,98895,98782,99013,99080,98975,99192,98200,98054,98349,97952,97792,98119
4,98855,98739,98977,99048,98937,99160,98145,97990,98293,97887,97728,98059
5,98822,98703,98947,99016,98905,99134,98091,97938,98248,97834,97664,98011
6,98793,98671,98922,98991,98877,99111,98050,97893,98212,97790,97615,97972
7,98767,98641,98900,98967,98850,99091,98010,97853,98182,97750,97571,97941
8,98744,98614,98880,98945,98825,99073,97985,97818,98157,97720,97532,97915
9,98723,98590,98862,98925,98802,99056,97959,97788,98135,97692,97499,97892
10,98705,98569,98846,98908,98782,99041,97936,97763,98114,97667,97472,97870
11,98689,98551,98831,98893,98765,99028,97915,97742,98093,97644,97449,97847
12,98672,98533,98816,98878,98748,99012,97895,97720,98071,97620,97425,97823
13,98651,98508,98799,98858,98724,98999,97865,97689,98046,97590,97392,97796
14,98619,98468,98776,98828,98686,98977,97826,97640,98019,97548,97339,97767
15,98573,98406,98746,98784,98628,98948,97773,97565,97988,97491,97258,97735
16,98511,98320,98708,98723,98547,98909,97703,97462,97938,97415,97145,97699
17,98433,98212,98662,98648,98445,98862,97616,97331,97912,97322,97002,97658
18,98343,98086,98610,98561,98326,98809,97513,97173,97866,97211,96829,97612
19,98246,97947,98556,98469,98197,98755,97385,96992,97814,97094,96628,97559
20,98145,97800,98503,98375,98063,98703,97264,96789,97756,96941,96403,97498
21,98041,97646,98451,98280,97924,98654,97126,96564,97692,96782,96151,97429
22,97934,97484,98399,98184,97780,98607,96962,96317,97621,96607,95873,97352
23,97824,97316,98347,98087,97633,98561,96793,96054,97544,96419,95575,97267
24,97711,97145,98294,97988,97483,98514,96617,95782,97460,96222,95267,97174
25,97597,96973,98239,97888,97332,98466,96437,95507,97370,96020,94954,97074
26,97481,96801,98181,97787,97181,98416,96253,95230,97274,95813,94639,96967
27,97364,96628,98120,97684,97029,98364,96064,94949,97174,95376,94319,96854
28,97245,96453,98058,97580,96876,98312,95868,94661,97062,95376,93989,96728
29,97122,96274,97992,97473,96719,98257,95663,94362,96944,95139,93642,96594
30,96993,96088,97922,97362,96557,98199,95445,94047,96818,94886,93273,96448
31,96859,95895,97848,97247,96390,98138,95214,93715,96682,94615,92881,96289
32,96718,95695,97769,97127,96217,98072,94970,93370,96537,94326,92466,96118
33,96572,95487,97686,97002,96038,98005,94712,92999,96382,94018,92024,95934
34,96419,95269,97598,96872,95852,97933,94438,92608,96217,93690,91551,95740
35,96259,95043,97506,96737,95660,97858,94147,92200,96040,93342,91044,95538
36,96090,94801,97410,96595,95457,97779,93838,91744,95859,92972,90501,95321
37,95912,94549,97308,96446,95245,97696,93510,91270,95664,92580,89922,95095
38,95726,94289,97199,96300,95024,97607,93164,90764,95453,92166,89312,94855
39,95531,94014,97082,96126,94794,97510,92802,90250,95237,91731,88677,94598
40,95327,93733,96955,95953,94555,97404,92425,89713,95003,91275,88021,94321
41,95113,93443,96818,95769,94307,97287,92032,89159,94754,90798,87344,94023
42,94887,93140,96668,95574,94047,97158,91621,88584,94489,90298,86643,93703
43,94637,92822,96505,95365,93771,97016,91190,87987,94206,89774,85917,93361
44,94369,92483,96340,95140,93480,96863,90726,87364,93898,89194,85159,93000
45,94114,92125,96138,94898,93161,96694,90258,86711,93582,88650,84377,92612
46,93817,91739,95931,94636,92820,96511,89753,86028,93237,88047,83559,92183
47,93497,91323,95713,94350,92451,96311,89218,85311,92852,87413,82700,91706
48,93150,90875,95459,94040,92050,96091,88650,84555,92469,86745,81814,91300
49,92772,90392,95187,93700,91617,95847,88044,83754,92041,86037,80871,90804
50,92361,89870,94887,93329,91148,95575,87395,82901,91580,85284,79870,90275
51,91913,89306,94555,92923,90639,95273,86701,81994,91082,84483,78808,89709
52,91425,88694,94189,92478,90086,94938,85959,81031,90545,83631,77685,89103
53,90891,88028,93787,91989,89480,94568,85166,80009,89966,82727,76503,88453
54,90307,87300,93347,91450,88810,94161,84321,78928,89341,81769,75268,87754
55,89697,86502,92665,90855,88068,93713,83420,77787,88668,80755,73983,87000
56,88969,85630,92339,90200,87250,93222,82462,76584,87944,79684,72649,86190
57,88208,84681,91766,89482,86352,92684,81444,75317,87166,78552,71262,85321
58,87381,83650,91142,88698,85370,92096,80360,73983,86326,77353,69817,84381
59,86484,82534,90463,87843,84299,91455,79204,72578,85413,76079,68308,83358
60,85513,81328,89724,86913,83135,90756,77970,71099,84421,74724,66730,82243
61,84464,80029,88921,85904,81873,89995,76655,69545,83344,73284,65083,81029
62,83334,78635,88051,84812,80511,89169,75259,67917,82182,71762,63368,79719
63,82108,77158,87108,83634,78975,88271,73786,66216,80941,70162,61584,78323
64,80836,75572,86106,82385,77501,87312,72248,64440,79629,68517,59732,76856
65,79469,73909,85030,81050,75860,86278,70630,62609,78252,66753,57813,75330
66,78009,72139,83878,79684,74109,85169,68952,60708,76809,64952,55829,73748
67,76493,70325,82653,78131,72309,83920,67180,58727,75207,63024,53819,72104
68,74871,68391,81339,76532,70397,82700,65391,56717,73713,61158,51679,70393
69,73147,66346,79930,74825,68339,81324,63505,54625,72051,59164,49520,68604
70,71313,64183,78417,73002,66166,79839,61545,52468,70307,57105,47312,66730
71,69366,61901,76795,71058,63865,78240,59512,50249,68479,54982,45058,64769
72,67306,59516,75075,69085,61444,76520,57408,47941,66537,52746,42740,62779
73,65135,57021,73209,66812,58897,74682,55237,45648,64565,50560,40442,60591
74,62853,54382,71236,64512,56238,72716,53004,43292,62474,48270,38100,58375
75,60380,51605,68908,62096,53534,70618,"50,746",40912,60160,45814,35629,56011
76,57984,48886,66908,59566,50601,68387,48368,38519,58012,43554,33397,53689
77,55362,46007,64544,56923,47641,66014,45968,36113,55636,41134,31050,51219
78,52594,43072,62057,54170,44600,63492,43514,33697,53077,38590,28636,48706
79,49852,40055,59390,51311,41503,60822,41005,31271,50585,36185,26391,46020
80,46951,37009,56590,48349,38355,57991,38441,28838,47905,33661,24091,43291
81,43960,33937,53635,45290,35178,54997,35824,26402,45119,31108,21819,40475
82,40884,30858,50521,42141,31991,51835,33155,23969,42225,28532,19583,37573
83,37807,27844,47436,38942,28869,48912,30430,21547,39188,25898,17392,34588
84,34510,24757,43801,35608,25677,44993,27676,19146,36105,23328,15321,31522
85,31231,21780,40188,32244,22599,41306,24873,16777,32874,20712,13191,28378
