Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,98964,98645,99090,99106,98998,99220,98426,98262,98597,98190,97996,98391
2,98892,98764,99029,99040,98923,99164,98332,98158,98519,98085,97882,98295
3,98838,98704,98980,98991,98869,99121,98256,98075,98444,98000,97790,98218
4,98796,98658,98942,98953,98828,99087,98194,98007,98388,97932,97716,98155
5,98762,98620,98912,98923,98794,99058,98143,97951,98342,97876,97655,98104
6,98733,98587,98887,98897,98765,99038,98100,97904,98304,97830,97605,98062
7,98707,98557,98866,98874,98738,99019,98064,97863,98272,97792,97563,98028
8,98684,98530,98537,98859,98712,99002,98033,97828,98246,97760,97526,97999
9,98663,98505,98830,98834,98689,98987,98006,97797,98223,97732,97494,97975
10,98645,98484,98815,98817,98669,98973,97982,97769,98203,97706,97464,97954
11,98628,98464,98801,98802,98651,98960,97959,97742,98184,97681,97435,97934
12,98610,98443,98786,98785,98632,98946,97935,97713,98166,97655,97404,97914
13,98587,98415,98768,98763,98606,98929,97907,97677,98146,97646,97362,97893
14,98554,98372,98745,98730,98564,98906,97871,97629,98123,97587,97314,97869
15,98507,98309,98716,98683,98501,98876,97825,97565,98095,97538,97247,97840
16,98445,98220,98672,98620,98414,98838,97763,97484,98051,97477,97161,97805
17,98369,98116,98633,98542,98306,98792,97696,97384,98021,97403,97056,97763
18,98280,97991,98583,98452,98180,98741,97612,97264,97975,97315,96930,97715
19,98183,97852,98537,98352,98041,98688,97523,97128,97923,97214,96783,97664
20,98081,97702,98477,98254,97894,98635,97405,96959,97867,97098,96607,97603
21,97974,97542,98424,98150,97740,98582,97283,96771,97818,96967,96407,97538
22,97861,97372,98370,96043,97578,98532,97143,96560,97737,96821,96181,97467
23,97745,97196,98316,97935,97412,98482,96993,96331,97664,96661,95933,97390
24,97628,97026,98261,97827,97247,98432,96834,96088,97588,96485,95670,97306
25,97512,96843,98204,97720,97086,98381,"96,669",95839,97502,96311,95395,97216
26,97397,96672,98147,97616,96931,98330,96499,95582,97413,96124,95110,97119
27,97283,96506,98088,97514,96780,98278,96322,95317,97317,95924,94814,97015
28,97168,96336,98027,97412,96632,98225,96137,95043,97217,95719,94503,96902
29,97050,96164,97964,97309,96481,98171,95942,94756,97107,95497,94174,96778
30,96927,95986,97897,97202,96325,98115,95735,94455,96988,95258,93823,96642
31,96798,95800,97826,97090,96162,98056,95515,94139,96858,95001,93450,96492
32,96663,95600,97751,96973,95993,97993,95283,93807,96723,94727,93054,96323
33,96522,95405,97672,96852,95818,97928,95038,93459,96568,94436,92636,96154
34,96377,95199,97588,96727,95639,97859,94781,93093,96411,94131,92196,95970
35,96227,94982,97500,96598,95457,97786,94512,92708,96247,93814,91735,95779
36,96072,94771,97407,96465,95271,97708,94230,92303,96076,93480,91252,95581
37,95910,94546,97308,96326,95079,97625,93934,91877,95896,93132,90745,95373
38,95738,94309,97201,96180,94878,97534,93620,91425,95703,92766,90212,95152
39,95557,94065,97086,96024,94667,97434,93291,90958,95498,92373,89649,94911
40,95363,93805,96958,95856,94443,97323,92938,90462,95271,91952,89052,94646
41,95153,93528,96816,95674,94203,97199,92560,89939,95022,91500,88419,94353
42,94927,93232,96659,95476,93945,97061,92156,89396,94751,91015,87749,94033
43,94683,92916,96481,95261,93670,96906,91720,88806,94464,90478,87040,93686
44,94421,92579,96300,95029,93371,96743,91276,88201,94145,89982,86315,93318
45,94139,92218,96097,94778,93051,96563,90803,87572,93812,89400,85559,92928
46,93836,91831,95869,94507,92706,96353,90274,86918,93460,88763,84762,92518
47,93508,91413,95639,94212,92329,96153,89784,86237,93081,88206,83974,92082
48,93151,90960,95377,93888,91819,95917,89226,85514,92673,87559,83125,91614
49,92739,90466,95087,93469,91269,95639,88569,84735,92226,86884,82217,91082
50,92325,89919,94766,93137,90973,95385,87957,83881,91733,86104,81237,90545
51,91854,89320,84406,92701,90327,95048,87230,82951,91189,85280,80178,89931
52,91324,88665,94016,92221,89827,94684,86440,81945,90594,84389,79042,89261
53,90752,87949,93586,91694,89167,94291,85591,80869,89951,83437,77836,88540
54,90130,87169,93122,91117,88441,93864,84693,79735,89268,82433,76575,87774
55,89458,86322,92623,90488,87644,93401,83749,78549,88548,81382,75266,86968
56,88733,85405,92068,89803,86773,92901,82763,77316,87794,80287,73915,86124
57,87951,84413,91513,89056,85823,92363,81729,76030,87048,79142,72514,85236
58,87103,83339,90888,88247,84788,91770,80630,74674,86148,77930,71046,84284
59,86180,82173,90203,87361,83661,91121,79444,73227,85215,76626,69487,83244
60,85173,80908,89449,86393,82435,90406,78156,71675,84185,75215,67822,82097
61,84077,79539,88619,85338,81105,89619,76757,70011,83047,73687,66042,80834
62,82865,78056,87701,84193,79604,88745,75265,68243,81808,71994,64151,79461
63,81618,76492,86731,82961,78131,87823,73665,66388,80485,70328,62189,77999
64,80264,74827,85681,81645,76497,86817,72016,64473,79104,68548,60167,76479
65,78733,74093,84507,80266,74770,85770,70304,62448,77616,66622,58010,74830
66,77327,71244,83381,78766,72955,84590,69600,60526,76232,64880,56039,73337
67,75740,69325,82122,77199,71046,83360,66834,58499,74737,63015,53941,71715
68,74008,67200,80818,75532,68927,82066,63109,56235,72945,61098,51720,70001
69,72267,65161,79390,73750,66877,80618,63109,54279,71534,59098,49612,68270
70,70353,62881,77772,71841,64581,79082,61111,52055,69778,57018,47350,66401
71,68312,"60,462",76096,69801,62139,77427,59013,49749,67903,54848,45018,64419
72,66149,57914,74299,67634,59561,75649,56823,47373,65916,52598,42630,62332
73,63988,55295,72347,65347,56963,73745,54525,44888,63846,50166,40184,60171
74,61491,52503,70350,62949,54057,71724,52236,42489,61666,47926,37763,57904
