Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,99149,99062,99241,99309,99232,99390,98557,98429,98691,98318,98164,98477
2,99087,98993,99188,99255,99170,99344,98470,98332,98613,98220,98055,98391
3,99041,98942,99147,99125,"99,125",99309,98404,98263,98550,98146,97978,98321
4,99006,98906,99114,99184,99091,99281,98353,98211,98500,98089,97920,98264
5,98978,98875,99088,99159,99064,99259,98311,98167,98460,98042,97871,98218
6,98959,98848,99076,99140,99044,99240,98275,98127,98428,98006,97828,98182
7,98931,98821,99048,99117,99017,99224,98243,98089,98402,97966,97784,98152
8,98911,98797,99032,99099,98995,99209,98214,98054,98380,97934,97745,98127
9,98893,98776,99018,99082,98975,99196,98189,98024,98361,97907,97712,98106
10,98877,98757,99005,99068,98958,99184,98169,98001,98344,97884,97687,98086
11,98863,98743,98993,98944,98944,99173,98152,97984,98327,97865,97669,98066
12,98849,98728,98980,99041,98929,99161,98135,97967,98309,97846,97652,98045
13,98830,98706,98964,99023,98908,99146,98112,97940,98289,97819,97624,98021
14,98801,98668,98943,98996,98873,99126,98074,97889,98265,97776,97567,97994
15,98757,98608,98916,98956,98820,99100,98016,97803,98236,97711,97470,97962
16,98697,98523,98882,98901,98745,99066,97935,97678,98202,97620,97327,97925
17,98628,98413,98841,98833,98651,99025,97833,97516,98161,97504,97142,97882
18,98535,98288,98795,98754,98541,98979,97713,97324,98115,97367,96921,97832
19,98441,98151,98747,98670,98423,98932,97580,97111,98064,97215,96673,97776
20,98344,98008,98699,98584,98300,98886,97438,96886,98008,97051,96408,97715
21,98245,97861,98652,98498,98174,98842,97288,96648,97947,96876,96125,97648
22,98144,97709,98604,98410,98044,98798,97129,96397,97881,96689,95824,97574
23,98040,97552,98555,98320,97911,98755,96963,96137,97809,96492,95509,97492
24,97934,97392,98505,98229,97775,98711,96792,95872,97731,96288,95187,97402
25,97825,97230,98452,98136,97636,98666,96616,95604,97646,96078,94862,97303
26,97718,97066,98396,98041,97498,98619,96437,95385,97555,95863,94532,97197
27,97601,96900,98338,97944,97353,98570,96254,95064,97457,95642,94207,97076
28,97485,96730,98277,97845,97206,98519,96065,94788,97351,95413,93871,96948
29,97364,96554,98213,97741,97053,98466,95868,94502,97238,95173,93522,96811
30,97237,96369,98145,97631,96891,98410,95660,94202,97117,94920,93154,96664
31,97100,96174,98073,97515,96720,98351,95441,93896,96988,94653,92766,96508
32,96962,95969,97996,97392,96539,98288,95211,93559,96850,94358,92358,96342
33,96814,95754,97915,97263,96349,98221,94968,93214,96702,94073,91929,96164
34,96658,95529,97828,97127,"96,151",98150,94711,92851,96543,93758,91478,95973
35,96493,95294,97735,96985,95944,98074,94439,92470,96372,93424,91005,95766
36,96319,95047,97635,96835,95728,97992,94151,92069,96189,93070,90508,95544
37,96135,94789,97527,96677,95502,97903,93846,91646,95993,92695,89985,95305
38,95942,94519,97412,96511,95266,97808,93523,91202,95784,92298,89436,95054
39,95739,94238,97289,96336,95020,97707,93184,90736,95562,91879,88860,94776
40,95527,93945,97159,96153,94765,97599,92828,90249,95327,91438,88256,94486
41,95304,93640,97020,95961,94498,97483,92454,89739,95078,90973,87623,94177
42,95069,93320,96871,95757,94219,97358,92060,89204,94813,90482,86959,93848
43,94828,92988,96711,95541,93928,97223,91645,88643,94537,89968,86265,93497
44,94558,92634,96538,95311,93616,97075,91208,88055,94234,89423,85533,93131
45,94280,92266,96351,95086,93290,96913,90747,87438,93917,88851,84768,92744
46,93984,91878,96151,94803,92943,96736,90260,86803,93581,88257,83964,92338
47,93668,91466,95929,94520,92575,96541,89744,86103,93222,87625,83120,91902
48,93328,91028,95689,94214,92180,96326,89198,85383,92837,86961,82237,91441
49,92961,90558,95425,93881,91755,96088,88619,84628,92422,86262,81317,90947
50,92562,90053,95133,93518,91295,95824,88006,83837,91974,85326,80361,90415
51,92129,89566,94811,93121,90797,95531,87357,83129,91537,84751,79370,89843
52,91658,88922,94457,92688,90256,95207,86667,82141,90970,83936,78339,89229
53,91145,88285,94068,92214,89667,94850,85928,81217,90404,83068,77253,88563
54,90584,87585,93605,91727,89025,94457,85127,80223,89784,82135,76094,87840
55,89971,86835,93172,91127,88319,94027,84267,79146,89101,81127,74885,87052
56,89302,86011,92660,90506,87549,93556,83307,77981,88358,80039,73513,86196
57,88571,85137,92107,89828,86711,93041,82283,76730,87546,78872,72088,85270
58,87783,84142,91490,89088,85794,93041,81387,75868,86,657,"70,580",70588,84289
59,86924,83086,90826,88278,84793,91859,80026,73984,85741,76320,68999,83222
60,85993,81943,90105,87393,83700,91183,78805,72502,84756,74947,67352,82107
61,84986,80710,89324,86429,82512,90444,77523,70950,83718,73512,65640,80933
62,83901,79383,88478,85383,81225,89639,76177,69325,82622,72013,63863,79697
63,82739,77958,87566,84252,79835,88766,74763,67596,81461,70413,62021,78392
64,81483,76431,86584,83034,78337,87823,73274,65855,80226,68810,61109,77011
65,80145,74798,85530,81726,76729,86807,71705,64009,78911,67100,58155,75549
66,78690,73058,84400,80327,75079,85736,70068,62053,77514,65319,56139,73987
67,77198,71211,83190,78833,73173,84544,68334,60109,76033,63470,54070,72381
68,75585,69258,81894,77242,71227,83283,66530,58052,74470,61550,51945,70678
69,73874,67203,80504,75549,69175,81925,64642,55914,72822,59557,49755,68896
70,72063,65049,79013,73752,67020,80462,62669,53693,71090,57491,47495,67037
71,70150,62940,77416,71850,64773,78988,60609,51386,69229,55344,45168,65097
72,68196,60457,75710,69842,62414,77202,58466,49009,67363,53139,42776,63080
73,66020,58020,73894,67726,59960,75400,56259,46579,65379,50881,40358,60998
74,63803,55480,71948,65401,57371,73511,54011,44166,63332,48604,37947,58870
75,61489,52865,69935,63166,54733,71447,51738,41686,61572,46196,35476,56753
76,59075,50152,67788,60721,51964,69290,49446,39258,59077,44058,33244,54513
77,56564,47529,65523,58168,49275,67006,47131,36847,56862,41793,30965,52279
78,53957,44499,63131,55510,46158,64598,44598,34246,54783,39321,28723,49999
79,51255,41580,60605,52749,43149,62028,42391,32048,52197,37230,26515,47640
80,48460,38616,57938,49890,40089,59320,39944,29648,49719,34908,24327,45205
81,45575,35619,55123,46936,36991,56459,37436,27245,47128,32547,22160,42677
82,42603,32601,52154,43891,33869,53438,34863,24844,44414,30145,20016,40047
83,39548,29573,49060,40760,30734,50254,32254,22455,41920,27702,17888,37308
84,36414,26546,45736,37547,27598,46903,29531,20092,38595,25225,15846,34460
85,33205,23532,42282,34256,24470,43383,26786,17776,35483,22724,13859,31499
