AGE,TOTAL_BOTH_SEXES,TOTAL_MALE,TOTAL_FEMALE,WHITE_BOTH_SEXES,WHITE_MALE,WHITE_FEMALE,ALL_OTHER_BOTH_SEXES,ALL_OTHER_MALE,ALL_OTHER_FEMALE
0,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,97984,97745,98236,98212,97990,98447,96865,96317,97420
2,97859,97612,98119,98105,97875,98347,96665,96317,97020
3,97776,97520,98045,98031,97791,98284,96535,96184,96893
4,97708,97443,97987,97969,97720,98231,96441,96077,96812
5,97653,97381,97940,97918,97663,98187,96385,95986,96751
6,97591,97298,97897,97860,97586,98147,96275,95867,96688
7,97542,97238,97859,97814,97529,98112,96212,95761,96637
8,97504,97196,97826,97777,97487,98081,96167,95744,96595
9,97474,97165,97798,97748,97456,98054,96133,95713,96559
10,97448,97139,97773,97723,97431,98030,96104,95688,96528
11,97423,97108,97750,97699,97406,98008,96074,95659,96507
12,97395,97081,97726,97672,97375,97985,96037,95617,96467
13,97359,97036,97700,97638,97337,97960,95990,95557,96433
14,97312,96974,97668,97594,97275,97930,95928,95474,96392
15,97240,96629,97629,97525,97195,97893,95848,95364,96342
16,97171,96781,97581,97460,97092,97847,95747,95224,96282
17,97075,96647,97525,97369,96965,97794,95624,95050,96211
18,96966,96491,97462,97261,96818,97735,95477,94860,96129
19,96843,96317,97396,97151,96655,97673,95306,94590,96036
20,96715,96128,97328,97033,96482,97610,95112,94300,95934
21,96580,95925,97259,96910,96298,97548,94893,93966,95821
22,96437,95708,97187,96783,96104,97485,94650,93591,95698
23,96291,95484,97114,96654,95904,97421,94389,93187,95565
24,96145,95262,97039,96526,95711,97356,94119,92772,95423
25,96002,95049,96962,96402,95526,97290,93845,92358,95273
26,95863,"94,847",96885,96283,95339,97223,93569,91963,95118
27,95727,94655,96802,96167,95190,97155,93288,91542,94948
28,95592,94468,96718,96053,95033,97085,93001,91135,94773
29,95454,94281,96630,95939,94878,97012,92704,90709,94587
30,95312,94090,96538,95822,94721,96935,92395,90270,94394
31,95148,93441,96441,95703,94559,96854,92033,89811,94192
32,95010,93687,96337,95575,94393,96768,91734,89333,93978
33,94847,93473,96225,95442,94220,96675,91378,88835,93748
34,94675,93249,96103,95325,94039,96575,91001,88317,93497
35,94491,93013,95970,95150,93847,96445,90601,87778,93220
36,94293,92763,95823,94987,93642,96344,90175,87217,92914
37,94080,92498,95662,94810,93421,96212,89722,86630,92579
38,93849,92209,95487,94618,93181,96067,89238,86012,92214
39,93600,91899,95297,94409,92919,95910,88720,85355,91818
40,93330,91562,95093,94180,92632,95740,88166,84652,91391
41,93037,91194,94873,93931,92316,95557,87567,83900,90932
42,92718,90793,94636,93658,91968,95358,86929,83099,90439
43,92372,90357,94379,93358,91586,95140,86248,82249,89911
44,91995,89882,94099,93028,91166,94900,85516,81354,89347
45,91585,89366,93793,92665,90705,94635,84762,80415,88746
46,91139,88805,93492,92368,90198,94362,83949,79432,88107
47,90654,88196,93096,91828,89442,94021,83101,78401,87428
48,90128,87535,92704,91350,89034,93670,82200,77319,86707
49,89559,86818,92282,90829,88370,93291,81247,76188,85943
50,88945,86042,91829,90264,87667,92882,80240,74979,85134
51,88283,85204,91343,89652,86861,92442,79179,73715,84279
52,87570,84299,90823,88962,85971,91968,78044,72389,83376
53,86801,83320,90265,88269,85079,91458,76885,71000,82423
54,85969,82257,89668,87485,84063,90909,75649,69645,81407
55,85069,81103,89001,86632,82932,90302,74320,68117,80352
56,84096,79853,88333,85706,81742,89679,72992,66462,79229
57,83007,78507,87588,84706,80440,88993,71544,64648,"78,045"
58,81927,77063,86802,83626,79019,88257,70086,63135,76801
59,80730,75523,85961,82471,78472,87472,68542,61387,75496
60,79458,73886,85069,81238,77886,86636,66939,59587,74131
61,78109,72153,84122,79925,76166,85745,65278,57737,72704
62,76680,70324,83114,78529,74344,84796,63560,55840,71214
63,75106,68396,81950,76926,72344,83720,61750,53840,69578
64,73560,66366,80880,75466,68379,82675,59951,51910,68027
65,71858,64233,79635,73787,66231,81485,58060,49883,66324
66,70058,61998,78294,72006,63976,80202,56117,47820,64549
67,68160,59667,76854,70051,61614,78818,54025,45704,62704
68,66165,57251,75308,68139,59161,77325,52077,43603,60783
69,64077,54761,73650,66056,56629,75715,49970,41446,58776
70,61898,52210,71875,63876,54025,73981,47801,39259,56680
71,59576,49608,69904,61504,51374,72121,45263,36940,54494
72,57286,46962,67969,59241,48670,70130,43294,34818,52230
73,54947,44279,65819,56711,45917,67991,38683,32591,49911
74,52308,41543,63515,54200,43112,65681,38683,30388,47568
75,49608,38187,61047,51488,40265,62985,36185,28187,45127
76,46922,35983,58415,48688,37367,60503,34147,26112,42901
77,44073,32614,55716,45679,34360,57665,31491,23790,40083
78,41208,29391,52700,42784,31558,54628,29779,22085,38310
79,38279,27641,49652,39742,28690,51474,27669,20185,36042
80,35334,24954,46503,36675,25883,48204,25616,18373,33793
81,32396,22356,43469,33660,23101,45037,23117,15661,31569
82,29480,19864,39967,30558,20550,41391,21725,15063,29381
83,26611,17504,36514,27550,18071,38860,18953,13501,25497
84,23805,15295,33212,24601,15745,34318,18236,12284,25187
85,21077,13256,29782,21726,13591,30715,16703,11148,23231
