AGE,TOTAL_BOTH_SEXES,TOTAL_MALE,TOTAL_FEMALE,WHITE_BOTH_SEXES,WHITE_MALE,WHITE_FEMALE,ALL_OTHER_BOTH_SEXES,ALL_OTHER_MALE,ALL_OTHER_FEMALE
76,"52,671","41,764","63,638","54,241","43,145","65,367","41,160","31,865","50,896"
77,"49,828","38,760","60,971","51,385","40,076","62,731","38,328","29,345","47,813"
78,"46,890","35,723","58,138","48,423","36,974","60,158","35,492","26,861","44,725"
79,"43,882","32,710","55,163","45,377","33,868","56,945","32,697","24,454","41,545"
80,"40,832","29,721","52,070","42,272","30,786","53,830","29,997","22,136","38,507"
81,"37,766","26,797","48,881","39,130","27,760","50,588","27,454","19,953","35,645"
82,"34,712","23,973","45,615","35,973","24,820","47,292","25,142","17,957","33,051"
83,"31,696","21,284","42,291","32,797","21,999","44,299","22,726","16,210","30,625"
84,"28,767","18,767","38,923","29,700","19,330","40,930","21,554","14,785","29,074"
85,"25,891","16,462","35,524","26,624","16,847","36,561","20,474","13,766","27,913"
