AGE,TOTAL_BOTH_SEXES,TOTAL_MALE,TOTAL_FEMALE,WHITE_BOTH_SEXES,WHITE_MALE,WHITE_FEMALE,ALL_OTHER_BOTH_SEXES,ALL_OTHER_MALE,ALL_OTHER_FEMALE
0,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,98098,97867,98341,98313,98094,98545,97070,96767,97381
2,97982,97542,98235,98200,97981,98450,96801,96588,97221
3,97904,97657,98164,98138,97905,98385,96786,96462,97120
4,97840,97585,98108,98078,97837,98334,96701,96368,97044
5,97786,97525,98060,98027,97780,98289,96634,96292,96985
6,97726,97447,98018,97973,97710,98250,96546,96168,96937
7,97678,97389,97981,97928,97656,98215,96485,96090,96887
8,97641,97347,97948,97892,97616,98183,96442,96043,96849
9,97611,97317,97919,97863,97586,98155,96410,96013,96817
10,97586,97293,97894,97838,97562,98130,96383,95989,96787
11,97562,97269,97870,97815,97539,98107,96354,95961,96759
12,97535,97239,97846,97789,97510,98084,96319,95921,96727
13,97500,97196,97819,97756,97470,98059,96272,95862,96691
14,97453,97135,97787,97712,97413,98029,96209,95780,96447
15,97390,97051,97747,97653,97333,97991,96127,95671,96592
16,97309,96960,97698,97577,97227,97965,96032,95532,96526
17,97211,96803,97640,97483,97096,97891,95897,95359,96447
18,97098,96644,97576,97376,96945,97792,95746,95148,96356
19,96975,96468,97508,97262,96781,97770,95571,94897,96256
20,96847,96280,97440,97145,96609,97708,95371,94604,94147
21,96713,96080,97371,97025,96430,97647,95145,94266,96029
22,96573,95869,97301,96902,96244,97586,94894,93886,95907
23,96430,95652,97229,96778,96056,97520,94625,93494,95784
24,96287,95437,97156,96655,95872,97461,94347,93054,95624
25,96140,95229,97081,96535,95696,97397,94065,92632,95476
26,96008,95031,97004,96419,95529,97331,93782,92215,95322
27,95873,94840,96925,96305,95370,97264,93496,91891,95161
28,95739,94649,96845,96193,95217,97194,93203,91491,95090
29,95603,94469,96756,96080,95065,97122,92898,90952,94895
30,95462,94280,96664,95965,94910,97046,92577,90506,94602
31,95316,94085,96564,95846,94750,96964,92239,90043,94381
32,95162,93876,96461,95722,94589,96881,91884,89563,94141
33,95003,93676,96349,95592,94419,96791,91508,89061,93880
34,94836,93456,96228,95454,94241,96694,91108,88533,93595
35,94650,93223,96096,95307,94052,96589,90680,87975,93285
36,94450,92979,95953,95140,93846,96477,90223,87384,92951
37,94243,92707,95707,94978,93631,96351,89735,86760,92583
38,94014,92420,95627,94791,93394,96215,89217,86102,92192
39,93764,92110,95442,94587,93136,96065,88598,85348,91777
40,93499,91776,95240,94362,92854,95898,88101,84694,91338
41,93208,91415,94019,94114,92544,95713,87503,83943,90875
42,92892,91024,94778,93842,92204,95509,86875,83156,90386
43,92563,90469,94517,93563,91831,95285,86285,82285,89860
44,92180,90140,94236,93217,91423,95041,85518,81471,89322
45,91793,89660,93956,92843,90973,94777,84684,80586,88760
46,91369,89103,93608,92475,90488,94491,84012,79626,88129
47,90888,88516,93258,92061,89953,94181,83181,78630,87440
48,90378,87882,92881,91594,89368,93845,82338,77599,84790
49,89830,87190,92474,91092,88726,93481,81419,76494,86051
50,89234,86435,92035,90544,88023,93086,80435,75316,85258
51,88587,85614,91561,89947,87254,92658,79379,74057,84403
52,87887,84722,91040,89297,86415,92196,78252,72718,83486
53,87129,83755,90500,88591,85500,91697,77066,71313,82520
54,86314,82714,89914,87825,84503,91161,75821,69860,81521
55,85439,81582,89291,86994,83417,90586,74580,68371,80499
56,84501,80371,88628,86097,82241,89967,73297,66897,79458
57,83497,79070,87972,85130,80972,89307,71980,65307,78388
58,82418,77677,87165,84086,79602,88594,70602,63495,77261
59,81255,76174,86350,82959,78122,87826,69124,61982,76042
60,80000,74555,85469,81746,76527,86497,67521,60144,74705
61,78626,72816,84515,80296,74814,85691,65814,58213,73235
62,77198,70960,83485,79032,72985,85133,63901,56054,71638
63,75689,68986,82335,77534,70935,84094,61924,53861,69928
64,74030,66944,81202,75956,69009,82984,59889,51648,68130
65,72326,64812,79951,74291,66882,81801,57826,49455,66258
66,70461,62521,78627,72543,64612,80542,55467,46901,64197
67,68691,60340,77222,70712,62379,79203,53693,45222,62369
68,66714,57964,75714,68588,59986,77759,51772,42675,60275
69,64675,55935,74077,66740,57519,76188,49252,40836,58007
70,62482,52974,72291,64576,54940,74472,46745,38383,55519
71,60161,50310,70350,62293,52269,72606,44002,35708,52782
72,57780,47565,68258,59846,49530,70590,41074,32952,49865
73,55179,44742,66022,57385,46697,68419,38096,29977,46842
74,52546,41882,63653,54762,43813,66088,35236,27213,43952
75,49845,39001,61161,52039,40880,63590,32624,24406,41906
76,47077,36129,58552,49205,37915,60948,30307,22476,38948
77,44225,33217,55750,46298,34941,58140,28261,20650,36150
78,41419,30458,52997,43324,31984,55204,26422,18905,34940
79,38548,27699,50057,40310,29073,52130,24712,17229,33131
80,35668,25020,47017,37277,26238,48940,23070,15752,31354
81,32674,22406,43946,34249,23249,45644,21466,14349,29439
82,29563,20014,40678,31252,20929,42271,19886,13027,27752
83,27189,17756,37412,28310,18526,38821,18371,11631,25921
84,24207,15410,34110,25463,16178,35396,16386,10221,24176
85,21954,13927,30798,22730,14413,31820,15827,10114,22554
