AGE,TOTAL_BOTH_SEXES,TOTAL_MALE,TOTAL_FEMALE,WHITE_BOTH_SEXES,WHITE_MALE,WHITE_FEMALE,ALL_OTHER_BOTH_SEXES,ALL_OTHER_MALE,ALL_OTHER_FEMALE
76,"49,362","38,287","60,748","51,141","39,748","62,819","36,186","27,790","45,262"
77,"46,498","35,365","57,914","48,202","36,722","60,000","33,855","25,615","42,841"
78,"43,538","32,406","55,065","45,175","33,592","57,028","31,642","23,556","40,529"
79,"40,593","29,576","52,029","42,087","30,687","53,877","29,509","21,601","38,267"
80,"37,595","26,757","48,887","38,966","27,737","50,623","27,431","19,736","36,017"
81,"34,598","24,025","45,659","35,840","24,873","47,271","25,408","17,969","33,770"
82,"31,636","21,395","42,367","32,720","21,990","43,922","23,478","16,290","31,512"
83,"28,720","18,946","39,036","29,682","19,529","40,364","21,658","14,845","29,421"
84,"25,899","16,667","35,690","26,703","17,113","36,847","20,069","13,588","27,479"
85,"23,201","14,611","32,358","23,826","14,912","33,311","18,806","12,630","25,856"
